did,oid,eid,sid,ent,flow,flow_D,count,count_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,dtimeTtime,dtimeTtime_D,spdh,spdh_D,flow_capacity,flow_capacity_D,density,density_D,qvnbvehs,qmean,qmean_D,qmax,qmax_D,qvmean,qvmean_D,qvmax,qvmax_D,travel,travel_D,traveltime,traveltime_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D
432282,379619,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379619,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379630,,0,0,3,-1,3,-1,3,-1,3,-1,20.3467382,1.963010385,4.840139441,0.982937131,0,0,37.81411233,3.51628476,23.7882819,-1,37.58813454,2.914461071,0.003333333,-1,0.079812428,-1,0,0,-1,0,-1,0,-1,0,-1,0.637329944,-1,61.04021461,-1,0,-1,0,-1,0,0,0,-1
432282,379630,,1,0,3,-1,3,-1,3,-1,3,-1,20.3467382,1.963010385,4.840139441,0.982937131,0,0,37.81411233,3.51628476,23.7882819,-1,37.58813454,2.914461071,0.003333333,-1,0.079812428,-1,0,0,-1,0,-1,0,-1,0,-1,0.637329944,-1,61.04021461,-1,0,-1,0,-1,0,0,0,-1
432282,379630,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379634,,0,0,5,-1,5,-1,5,-1,5,-1,47.09914315,3.418483261,8.456576929,2.078627422,0,0,34.31697681,2.676931434,17.95484241,-1,34.16174355,2.302832766,0.005555556,-1,0.146362553,-1,0,0.010444444,-1,1,-1,0,-1,0,-1,2.234706736,-1,235.4957157,-1,0,-1,0,-1,0.8,0,1,-1
432282,379634,,1,0,5,-1,5,-1,5,-1,5,-1,47.09914315,3.418483261,8.456576929,2.078627422,0,0,34.31697681,2.676931434,17.95484241,-1,34.16174355,2.302832766,0.005555556,-1,0.146362553,-1,0,0.010444444,-1,1,-1,0,-1,0,-1,2.234706736,-1,235.4957157,-1,0,-1,0,-1,0.8,0,1,-1
432282,379634,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379637,,0,0,5,-1,5,-1,5,-1,5,-1,22.6875221,0.792925177,1.446725105,0.685021245,0,0,45.66734965,1.589635727,6.376743562,-1,45.62291125,1.423871243,0.005555556,-1,0.109594058,-1,0,0,-1,0,-1,0,-1,0,-1,1.437598344,-1,113.4376105,-1,0,-1,0,-1,0,0,0,-1
432282,379637,,1,0,5,-1,5,-1,5,-1,5,-1,22.6875221,0.792925177,1.446725105,0.685021245,0,0,45.66734965,1.589635727,6.376743562,-1,45.62291125,1.423871243,0.005555556,-1,0.109594058,-1,0,0,-1,0,-1,0,-1,0,-1,1.437598344,-1,113.4376105,-1,0,-1,0,-1,0,0,0,-1
432282,379637,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379650,,0,0,8,-1,8,-1,8,-1,8,-1,2.299894978,0.205348204,1.211189227,0.203641334,0,0,25.97271977,2.357421922,52.66280585,-1,25.78964867,2.17286432,0.008888889,-1,0.332631933,-1,0,0,-1,0,-1,0,-1,0,-1,0.131807741,-1,18.39915982,-1,0,-1,0,-1,0,0,0,-1
432282,379650,,1,0,8,-1,8,-1,8,-1,8,-1,2.299894978,0.205348204,1.211189227,0.203641334,0,0,25.97271977,2.357421922,52.66280585,-1,25.78964867,2.17286432,0.008888889,-1,0.332631933,-1,0,0,-1,0,-1,0,-1,0,-1,0.131807741,-1,18.39915982,-1,0,-1,0,-1,0,0,0,-1
432282,379650,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379657,,0,0,8,-1,8,-1,8,-1,8,-1,22.43212851,1.233091256,4.312094004,1.0310817,0,0,25.70854699,1.447479804,19.22284816,-1,25.63898583,1.33546905,0.008888889,-1,0.312024865,-1,0,0.016888889,-1,1,-1,0,-1,0,-1,1.278082278,-1,179.4570281,-1,0,-1,0,-1,0.8,0,1,-1
432282,379657,,1,0,8,-1,8,-1,8,-1,8,-1,22.43212851,1.233091256,4.312094004,1.0310817,0,0,25.70854699,1.447479804,19.22284816,-1,25.63898583,1.33546905,0.008888889,-1,0.312024865,-1,0,0.016888889,-1,1,-1,0,-1,0,-1,1.278082278,-1,179.4570281,-1,0,-1,0,-1,0.8,0,1,-1
432282,379657,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379660,,0,0,3,-1,3,-1,3,-1,3,-1,0.810224781,0.066694807,0.091932188,0.021020296,0,0,43.91565197,3.484693159,11.34650409,-1,43.72449966,2.891027383,0.003333333,-1,0.06861142,-1,0,0,-1,0,-1,0,-1,0,-1,0.029522228,-1,2.430674342,-1,0,-1,0,-1,0,0,0,-1
432282,379660,,1,0,3,-1,3,-1,3,-1,3,-1,0.810224781,0.066694807,0.091932188,0.021020296,0,0,43.91565197,3.484693159,11.34650409,-1,43.72449966,2.891027383,0.003333333,-1,0.06861142,-1,0,0,-1,0,-1,0,-1,0,-1,0.029522228,-1,2.430674342,-1,0,-1,0,-1,0,0,0,-1
432282,379660,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379667,,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379667,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379667,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
